run,model_load_s,segments,first_segment_s,avg_per_segment_s,total_generation_s,video_mb
dreamx_ar_clip,155.0,12,29.0,41.7,488.0,96.1
dreamx_ar_whole,160.0,1,307.0,,307.0,95.9
dreamx_cam_clip,731.0,12,184.0,173.7,2095.0,19.3
dreamx_cam_whole,120.0,1,9880.0,,9880.0,12.6
hy_ar_clip,1246.0,12,319.0,305.5,3679.0,12.7
hy_ar_distill_clip,50.0,12,54.0,52.1,627.0,10.4
hy_ar_distill_whole,50.0,1,824.0,,824.0,16.1
hy_ar_rl_clip,1002.0,12,322.0,305.5,3683.0,15.9
hy_ar_rl_whole,1002.0,1,4506.0,,4506.0,18.0
hy_ar_whole,1246.0,1,4510.0,,4510.0,29.3
hy_bi_clip,1842.0,12,484.0,477.0,5731.0,11.4
hy_bi_whole,1842.0,1,10419.0,,10419.0,10.8
infworld_clip,45.0,20,36.0,38.6,770.0,51.3
lingbot_large_clip,1481.0,20,121.0,113.7,2282.0,37.7
lingbot_large_whole,185.0,1,3376.0,,3376.0,52.5
lingbot_small_clip,1823.0,20,45.0,27.6,570.0,68.3
lingbot_small_whole,996.0,1,418.0,,418.0,72.1
mg3_efficiency_clip,825.0,26,38.0,16.3,446.0,36.6
mg3_quality_clip,655.0,26,243.0,226.6,5908.0,22.2
sana_wm_bidirectional_clip,286.0,20,368.0,39.1,1110.0,21.8
sana_wm_bidirectional_whole,286.0,1,927.0,,927.0,22.4
