run,model_load_s,segments,first_segment_s,avg_per_segment_s,total_generation_s,video_mb
dreamx_ar_clip,420.0,12,29.0,36.5,431.0,117.5
dreamx_ar_whole,145.0,1,287.0,,287.0,117.0
dreamx_cam_clip,787.0,12,176.0,169.5,2040.0,26.2
dreamx_cam_whole,728.0,1,9813.0,,9813.0,51.8
hy_ar_clip,2830.0,12,322.0,306.1,3689.0,11.2
hy_ar_distill_clip,1517.0,12,69.0,51.9,640.0,9.1
hy_ar_distill_whole,1517.0,1,822.0,,822.0,20.4
hy_ar_rl_clip,2830.0,12,322.0,307.5,3704.0,16.7
hy_ar_rl_whole,2830.0,1,4525.0,,4525.0,21.0
hy_ar_whole,2830.0,1,4503.0,,4503.0,14.4
hy_bi_clip,2825.0,12,493.0,475.7,5726.0,12.8
hy_bi_whole,2825.0,1,10394.0,,10394.0,19.3
infworld_clip,242.0,20,50.0,40.5,819.0,79.6
lingbot_large_clip,1672.0,20,123.0,116.7,2340.0,65.2
lingbot_large_whole,1310.0,1,3358.0,,3358.0,81.3
lingbot_small_clip,1102.0,20,49.0,30.5,628.0,80.3
lingbot_small_whole,110.0,1,391.0,,391.0,93.7
lingbot_v2_fast_clip,125.0,20,56.0,36.6,751.0,100.2
lingbot_v2_fast_whole,125.0,1,356.0,,356.0,126.8
mg3_efficiency_clip,845.0,26,32.0,21.0,557.0,39.7
mg3_quality_clip,700.0,26,251.0,230.9,6024.0,43.7
sana_wm_bidirectional_clip,2418.0,20,433.0,39.3,1179.0,30.4
sana_wm_bidirectional_whole,2418.0,1,900.0,,900.0,38.4
