[driver 23:22:55] waiting for adapter to load ... (0s, health=None)
[driver 23:23:55] waiting for adapter to load ... (60s, health=None)
[driver 23:24:55] waiting for adapter to load ... (120s, health=None)
[driver 23:25:55] waiting for adapter to load ... (180s, health=None)
[driver 23:26:55] waiting for adapter to load ... (240s, health=None)
[driver 23:27:55] waiting for adapter to load ... (300s, health=None)
[driver 23:28:55] waiting for adapter to load ... (360s, health=None)
[driver 23:29:55] waiting for adapter to load ... (420s, health=None)
[driver 23:30:55] waiting for adapter to load ... (480s, health=None)
[driver 23:31:55] waiting for adapter to load ... (540s, health=None)
[driver 23:32:55] waiting for adapter to load ... (600s, health=None)
[driver 23:33:55] waiting for adapter to load ... (660s, health=None)
[driver 23:34:55] waiting for adapter to load ... (720s, health=None)
[driver 23:35:55] waiting for adapter to load ... (780s, health=None)
[driver 23:36:55] waiting for adapter to load ... (840s, health=None)
[driver 23:37:55] waiting for adapter to load ... (900s, health=None)
[driver 23:38:55] waiting for adapter to load ... (960s, health=None)
[driver 23:39:55] waiting for adapter to load ... (1020s, health=None)
